Row #	X	Y	XY-up	XY-down
1	0.7610972	0.9265657	1.199219	1.199268
2	0.761174	0.9265657	1.199268	1.199317
3	0.7612508	0.9265657	1.199317	1.199366
4	0.7613275	0.9265657	1.199366	1.199414
5	0.7614043	0.9265657	1.199414	1.199463
6	0.761481	0.9265657	1.199463	1.199512
7	0.7615578	0.9265657	1.199512	1.199561
8	0.7616344	0.9265657	1.199561	1.199609
9	0.7617111	0.9265657	1.199609	1.199658
10	0.7617878	0.9265657	1.199658	1.199707
11	0.7618644	0.9265657	1.199707	1.199755
12	0.7619411	0.9265657	1.199755	1.199804
13	0.7620177	0.9265657	1.199804	1.199853
14	0.7620943	0.9265657	1.199853	1.199901
15	0.7621709	0.9265657	1.199901	1.19995
16	0.7622475	0.9265657	1.19995	1.199999
17	0.762324	0.9265657	1.199998	1.200047
18	0.7624006	0.9265657	1.200047	1.200096
19	0.7624771	0.9265657	1.200096	1.200144
20	0.7625536	0.9265657	1.200144	1.200193
21	0.76263	0.9265657	1.200193	1.200242
22	0.7627066	0.9265657	1.200242	1.20029
23	0.762783	0.9265657	1.20029	1.200339
24	0.7628595	0.9265657	1.200339	1.200387
25	0.7629359	0.9265657	1.200387	1.200436
26	0.7630123	0.9265657	1.200436	1.200485
27	0.7630886	0.9265657	1.200485	1.200533
28	0.7631651	0.9265657	1.200533	1.200582
29	0.7632415	0.9265657	1.200582	1.20063
30	0.7633178	0.9265657	1.20063	1.200679
31	0.7633941	0.9265657	1.200679	1.200727
32	0.7634704	0.9265657	1.200727	1.200776
33	0.7635467	0.9265657	1.200776	1.200824
34	0.763623	0.9265657	1.200824	1.200873
35	0.7636992	0.9265657	1.200873	1.200921
36	0.7637755	0.9265657	1.200921	1.20097
37	0.7638518	0.9265657	1.20097	1.201018
38	0.7639279	0.9265657	1.201018	1.201067
39	0.7640041	0.9265657	1.201067	1.201115
40	0.7640803	0.9265657	1.201115	1.201164
41	0.7641565	0.9265657	1.201164	1.201212
42	0.7642326	0.9265657	1.201212	1.20126
43	0.7643088	0.9265657	1.20126	1.201309
44	0.7643849	0.9265657	1.201309	1.201357
45	0.764461	0.9265657	1.201357	1.201406
46	0.7645371	0.9265657	1.201406	1.201454
47	0.7646132	0.9265657	1.201454	1.201503
48	0.7646892	0.9265657	1.201503	1.201551
49	0.7647653	0.9265657	1.201551	1.201599
50	0.7648413	0.9265657	1.201599	1.201648
51	0.7649173	0.9265657	1.201648	1.201696
52	0.7649933	0.9265657	1.201696	1.201745
53	0.7650692	0.9265657	1.201745	1.201793
54	0.7651452	0.9265657	1.201793	1.201841
55	0.7652211	0.9265657	1.201841	1.20189
56	0.7652971	0.9265657	1.20189	1.201938
57	0.765373	0.9265657	1.201938	1.201986
58	0.7654489	0.9265657	1.201986	1.202034
59	0.7655248	0.9265657	1.202034	1.202083
60	0.7656006	0.9265657	1.202083	1.202131
61	0.7656765	0.9265657	1.202131	1.202179
62	0.7657523	0.9265657	1.202179	1.202228
63	0.7658281	0.9265657	1.202228	1.202276
64	0.7659039	0.9265657	1.202276	1.202324
65	0.7659797	0.9265657	1.202324	1.202373
66	0.7660555	0.9265657	1.202373	1.202421
67	0.7661312	0.9265657	1.202421	1.202469
68	0.7662069	0.9265657	1.202469	1.202517
69	0.7662826	0.9265657	1.202517	1.202566
70	0.7663583	0.9265657	1.202566	1.202614
71	0.766434	0.9265657	1.202614	1.202662
72	0.7665097	0.9265657	1.202662	1.20271
73	0.7665854	0.9265657	1.20271	1.202759
74	0.766661	0.9265657	1.202759	1.202807
75	0.7667366	0.9265657	1.202807	1.202855
76	0.7668122	0.9265657	1.202855	1.202903
77	0.7668878	0.9265657	1.202903	1.202951
78	0.7669634	0.9265657	1.202951	1.202999
79	0.7670389	0.9265657	1.202999	1.203048
80	0.7671145	0.9265657	1.203048	1.203096
81	0.7671899	0.9265657	1.203096	1.203144
82	0.7672655	0.9265657	1.203144	1.203192
83	0.7673409	0.9265657	1.203192	1.20324
84	0.7674164	0.9265657	1.20324	1.203288
85	0.7674919	0.9265657	1.203288	1.203336
86	0.7675673	0.9265657	1.203336	1.203385
87	0.7676427	0.9265657	1.203385	1.203433
88	0.7677181	0.9265657	1.203433	1.203481
