Project Length,30
CRF,0.1
Annual Capture Amount (MTCO2/yr),49.99999999999999
Total Cost ($M/yr),5140.68646722
Capture Cost ($M/yr),4669.03817
Transport Cost ($M/yr),275.2612072199998
Storage Cost ($M/yr),196.38709

Source,Capture Amount (MTCO2/yr),Capture Cost ($M/yr)
17,4.53199999999999,715.4538399999994
16,20.331000000000003,1692.77221
6,17.901000000000003,1301.3841200000002
2,7.236,959.428

Sink,Storage Amount (MTCO2/yr),Storage Cost ($M/yr)
4,16.5,71.02590000000001
7,24.862999999999737,88.87280999999928
5,8.63700000000026,36.48838000000072

Edge Source,Edge Sink,Amount (MTCO2/yr),Transport Cost ($M/yr),Length (km)
581660,580341,16.5,1.57952,2.013496171131197
471474,480732,24.862999999999737,4.529266019999965,12.523380104943353
180218,229069,16.5,11.4467,43.11779268205499
341295,346579,16.5,2.909605,4.276726036710542
178898,180218,16.5,0.305205,1.2058070579242004
178898,180220,1.4010000000000034,0.1318216900000001,1.2058070579242004
241059,243696,7.236,1.1332382399999998,4.741456928170703
269118,245397,24.862999999999737,18.47805927999986,53.00281916555868
239737,241059,7.236,0.36036496,1.207995586571317
254257,625440,8.63700000000026,46.66747313000098,281.63395510471884
346579,358468,16.5,1.7714150000000002,8.339620155409428
358468,394128,16.5,7.171964999999999,29.810312639309405
254554,269118,4.531999999999987,3.4782866799999943,33.46582533643342
248042,250684,24.862999999999737,6.9691321799999475,1.8532489234243172
212167,254554,4.531999999999733,11.846984159999616,104.70922778416262
243696,254257,8.63700000000026,1.525600320000032,10.371541116641453
267887,471474,24.862999999999737,61.48516503999954,200.23703369922848
180220,243696,1.4010000000000034,7.647854460000005,98.63364666103998
270438,269118,20.330999999998944,1.034633299999964,1.209036413971368
250684,267887,24.862999999999737,9.685935079999927,28.905615889739657
577696,581660,16.5,0.70731,3.0732026954504548
213487,212167,4.531999999999733,0.14151315999999542,1.2069985205817069
625440,641280,8.63700000000026,2.6019941900000365,14.660821045945468
229069,341295,16.5,28.962200000000003,100.37867474621333
245397,248042,24.862999999999737,6.623945329999949,3.1917469335747413
394128,577696,16.5,36.06602,156.43029910587325
