Required data,,,,,,,,,Not-required data,,,,,,,,,,,,,,,,,,,,,,,,,,
Unique ID,Name,Capturable CO2 (MtCO2/yr),USE COLUMN D or COLUMNS EÐG (NOT BOTH),,,,X-LON,Y-LAT,Comment,Source type,Source of emissions data,Source of cost data,Extra column,Extra column,Extra column,Extra column,Extra column,Extra column,Extra column,Extra column,Extra column,Extra column,,,,,,,,,,,,,
,,,Total unit cost ($/tCO2),Fixed capital cost ($M),Fixed O&M cost ($M/yr),Variable O&M cost ($/tCO2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,7.236,0.00,2842.800,223.400,81.93,-88.0103,31.0069,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,7.236,0.00,3052.400,234.500,58.00,-86.4567,33.2442,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,0.297,0.00,407.900,52.500,106.78,-85.9708,34.0128,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4.635,0.00,2108.500,192.000,71.90,-87.2003,33.6446,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,2.034,0.00,904.400,80.100,67.06,-87.7811,32.6017,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,17.901,0.00,3959.000,258.900,36.12,-87.0597,33.6319,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,3.276,0.00,1910.500,160.800,94.74,-87.2289,30.5661,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,1.260,0.00,539.600,62.900,88.11,-85.7003,30.2689,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,0.018,0.00,339.600,48.600,123.82,-84.8869,30.6689,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,17.928,0.00,4535.000,288.800,79.80,-84.9192,34.1256,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,3.096,0.00,1424.000,141.500,69.03,-85.3456,34.2533,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,5.319,0.00,2361.000,190.600,77.67,-83.2994,33.1942,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,1.782,0.00,834.400,78.400,83.98,-84.4750,33.8244,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,1.026,0.00,474.600,73.300,93.05,-81.1458,32.1486,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,0.027,0.00,264.700,31.100,81.24,-84.1322,31.4444,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,20.331,0.00,5295.000,311.200,41.91,-83.8072,33.0583,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,6.129,0.00,2539.000,155.100,67.62,-85.0345,33.4124,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,4.059,0.00,2307.400,239.400,72.62,-84.8986,33.4622,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,2.529,0.00,1405.600,102.300,68.72,-89.0265,30.4408,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,5.013,0.00,2091.000,128.600,89.68,-88.5574,30.5335,,,,,,,,,,,,,,,,,,,,,,,,,,,
