ID	Name	Value	costFix	costVar	costROW	wdthROW	costO&M	minCap	maxCap	flowLoss
1	4"	4	0.167	0	0.116	60.33	0.003125	0	0.19	0
2	6"	6	0.229	0	0.122	60.5	0.003125	0.19	0.54	0
3	8"	8	0.291	0	0.128	60.67	0.003125	0.54	1.13	0
4	12"	12	0.417	0	0.139	61	0.003125	1.13	3.25	0
5	16"	16	0.55	0	0.15	61.33	0.003125	3.25	6.86	0
6	20"	20	0.69	0	0.161	61.67	0.003125	6.86	12.26	0
7	24"	24	0.842	0	0.173	62	0.003125	12.26	19.69	0
8	30"	30	1.102	0	0.19	62.5	0.003125	19.69	35.13	0
9	36"	36	1.419	0	0.207	63	0.003125	35.13	56.46	0
10	42"	42	1.823	0	0.224	63.5	0.003125	56.46	83.95	0
