Project Length,0
CRF,0.1
Annual Capture Amount (MTCO2/yr),80.00000000000001
Total Cost ($M/yr),23790.360775440004
Capture Cost ($M/yr),22246.57875
Transport Cost ($M/yr),422.40412544000384
Storage Cost ($M/yr),1121.3779000000004

Source,Capture Amount (MTCO2/yr),Capture Cost ($M/yr)
1,6.731000000000005,2757.354150000002
6,17.901,3232.9206
5,2.034,682.0002
18,4.059,1473.8229000000001
19,2.529,868.9644000000001
16,20.331,4260.36105
11,3.096,1068.5844
12,5.318999999999999,2065.6336499999998
17,6.129,2072.2149
4,4.635,1666.2825
2,7.236,2098.44

Sink,Storage Amount (MTCO2/yr),Storage Cost ($M/yr)
7,25.65,355.2525
3,2.529000000000024,38.18790000000036
5,14.513000000000064,198.82810000000086
6,13.283999999999999,187.96859999999998
4,24.02399999999994,341.14079999999916

Edge Source,Edge Sink,Amount (MTCO2/yr),Transport Cost ($M/yr)
471474,480732,25.65,null
581660,580341,17.292999999999935,null
205577,209527,4.059,null
341295,346579,17.293000000000287,null
373359,622999,13.283999999999999,null
161974,171222,3.096,29.3949624
176239,177561,4.635,null
241059,243696,7.236,null
205578,205577,4.059000000000001,null
593579,586970,6.731000000000005,55.791521239999994
239737,241059,7.235999999999999,null
346579,358468,17.292999999999935,null
648113,649437,13.283999999999999,null
649437,657366,13.283999999999999,null
248042,250684,25.65,null
243696,254257,14.512999999999714,null
267887,471474,25.65,null
646791,648113,13.283999999999999,null
270438,269118,20.331,null
250684,267887,25.65,null
577696,581660,17.292999999999935,null
212167,213487,7.155,null
625440,641280,14.512999999999714,null
80029,87961,3.096,null
178883,180218,4.635,null
209527,212167,7.155,null
394128,577696,17.292999999999935,null
180218,229069,15.259000000000286,null
171222,209527,3.096,138.60220008
178898,180218,10.624000000000285,null
622999,624321,13.283999999999999,null
178898,180220,7.276999999999715,null
87961,161974,3.096,119.85675520000379
664847,670134,2.529000000000024,null
269118,245397,20.331,null
213487,373359,13.283999999999999,null
662206,664847,2.529000000000024,null
177561,178883,4.634999999999999,null
624321,646791,13.283999999999999,null
254257,625440,14.512999999999714,null
586970,580341,6.731000000000005,67.14735264000001
358468,394128,17.292999999999935,null
684605,663482,2.529,null
663491,662190,2.5290000000006634,null
663482,663491,2.5290000000004516,null
180220,243696,7.276999999999715,null
594899,593579,6.731000000000005,11.611333879999998
229069,341295,15.259000000000286,null
662190,662206,2.529000000000024,null
245397,248042,20.331,null
670134,674100,2.529000000000024,null
