Project Length,0
CRF,0.1
Annual Capture Amount (MTCO2/yr),95.0
Total Cost ($M/yr),30621.97982388
Capture Cost ($M/yr),28200.39555
Transport Cost ($M/yr),1088.1027738799985
Storage Cost ($M/yr),1333.4814999999999

Source,Capture Amount (MTCO2/yr),Capture Cost ($M/yr)
1,3.8030000000000017,1557.8989500000007
6,17.901,3232.9206
5,2.034,682.0002
18,4.059,1473.8229000000001
19,2.529,868.9644000000001
16,20.331,4260.36105
11,3.096,1068.5844
12,5.319,2065.63365
17,6.129,2072.2149
4,4.635,1666.2825
10,17.928,7153.272
2,7.236,2098.44

Sink,Storage Amount (MTCO2/yr),Storage Cost ($M/yr)
7,25.65,355.2525
3,2.529000000000024,38.18790000000036
5,14.513000000000064,198.82810000000086
6,31.211999999999996,441.64979999999997
4,21.095999999999904,299.56319999999863

Edge Source,Edge Sink,Amount (MTCO2/yr),Transport Cost ($M/yr)
471474,480732,25.65,null
581660,580341,17.292999999999903,null
205577,209527,4.058999999999999,null
341295,346579,17.293000000000287,null
373359,622999,31.211999999999996,483.9068211000001
161974,171222,21.024,null
176239,177561,4.635,null
241059,243696,7.236000000000001,null
205578,205577,4.059,null
593579,586970,3.8030000000000017,null
239737,241059,7.235999999999999,null
346579,358468,17.292999999999903,null
648113,649437,31.211999999999996,23.551003600000005
649437,657366,31.211999999999996,17.744203100000004
248042,250684,25.65,null
243696,254257,14.512999999999714,null
267887,471474,25.65,null
646791,648113,31.211999999999996,3.169438800000001
270438,269118,20.331,null
250684,267887,25.65,null
577696,581660,17.292999999999935,null
212167,213487,25.083,3.423841900000001
625440,641280,14.512999999999714,null
80029,87961,3.096,null
99895,106500,17.927999999999592,19.021727040000002
178883,180218,4.635,null
209527,212167,25.083,7.403051800000002
106500,161974,17.927999999999592,118.45684103999827
394128,577696,17.292999999999935,null
180218,229069,15.259000000000286,null
171222,209527,21.024,null
178898,180218,10.624000000000287,null
622999,624321,31.211999999999996,2.822346300000001
178898,180220,7.276999999999713,null
87961,161974,3.0960000000004086,null
664847,670134,2.529000000000024,null
269118,245397,20.331,null
213487,373359,31.211999999999996,354.56110880000006
662206,664847,2.529000000000024,null
177561,178883,4.635,null
624321,646791,31.211999999999996,54.042390400000016
254257,625440,14.512999999999714,null
586970,580341,3.8030000000000017,null
358468,394128,17.292999999999903,null
684605,663482,2.5289999999991113,null
663491,662190,2.5290000000006634,null
663482,663491,2.5290000000004516,null
180220,243696,7.276999999999713,null
594899,593579,3.8030000000000017,null
229069,341295,15.259000000000288,null
662190,662206,2.529000000000024,null
245397,248042,20.331,null
670134,674100,2.529000000000024,null
