Project Length,0
CRF,0.1
Annual Capture Amount (MTCO2/yr),49.99999999999999
Total Cost ($M/yr),584.3284127399987
Capture Cost ($M/yr),447.230582
Transport Cost ($M/yr),109.43422073999831
Storage Cost ($M/yr),27.66361000000034

Source,Capture Amount (MTCO2/yr),Capture Cost ($M/yr)
19,2.529,34.758576
4,2.003000000000001,28.803140000000017
6,17.901,129.316824
2,7.236,83.93759999999999
16,20.331,170.41444199999998

Sink,Storage Amount (MTCO2/yr),Storage Cost ($M/yr)
3,2.529,1.5275159999999999
7,20.331,11.263374
5,27.140000000000615,14.872720000000339

Edge Source,Edge Sink,Amount (MTCO2/yr),Transport Cost ($M/yr)
471474,480732,20.331,1.8144924099994642
180218,178898,2.0030000000006147,0.11861696000000142
178898,180220,19.904000000000615,0.24021592000000214
176239,177561,2.003000000000001,0.23641386
664847,670134,2.5290000000026738,0.2745058399998798
241059,243696,7.236,0.53503812
269118,245397,20.331,7.40247481
662206,664847,2.529000000006787,0.12451052000022973
177561,178883,2.0030000000006147,0.13062765000000157
239737,241059,7.236,0.17013052
254257,625440,27.140000000000615,38.97053800000032
248042,250684,20.331,2.7918462699999997
684605,663482,2.528999999996382,2.5877032199962975
663491,662190,2.529000000003169,1.0583141300017098
243696,254257,27.14000000000123,1.2738266000000205
663482,663491,2.528999999996382,0.48969047999991633
180220,243696,19.904000000000615,13.933114880000124
267887,471474,20.331,24.63165302
270438,269118,20.331,0.47675066
250684,267887,20.331,3.8802597299999997
625440,641280,27.140000000000615,2.1498338000000174
245397,248042,20.331,2.65358758
662190,662206,2.529000000002997,2.3048457800003264
178883,180218,2.002999999999989,0.9827827399999995
670134,674100,2.5290000000010733,0.20244724000001027
